"date","load"
2011-01-01,5185.75344754209
2011-01-02,4972.02982773698
2011-01-03,4825.53045764115
2011-01-04,4747.08031682061
2011-01-05,4710.93294100688
2011-01-06,4693.16597036192
2011-01-07,4627.75609691805
2011-01-08,4538.40376400779
2011-01-09,4435.54869405592
2011-01-10,4369.54680732148
2011-01-11,4358.85363754914
2011-01-12,4385.27362572529
2011-01-13,4443.52556898954
2011-01-14,4456.0542329387
2011-01-15,4435.39319242313
2011-01-16,4383.53025358625
2011-01-17,4342.05068449014
2011-01-18,4327.41423764058
2011-01-19,4350.93537840793
2011-01-20,4424.59594288652
2011-01-21,4490.72278910917
2011-01-22,4500.60695901803
2011-01-23,4484.57538169942
2011-01-24,4436.72166840182
2011-01-25,4390.94604112097
2011-01-26,4382.71190042109
2011-01-27,4441.77148228249
2011-01-28,4506.95513303307
2011-01-29,4526.21985428415
2011-01-30,4511.32937290835
2011-01-31,4442.90118009825
2011-02-01,4354.62032872312
2011-02-02,4315.68475021634
2011-02-03,4366.59742066041
2011-02-04,4432.6192793856
2011-02-05,4448.70736140611
2011-02-06,4432.34475431417
2011-02-07,4349.82569167692
2011-02-08,4227.4252562006
2011-02-09,4162.98725798238
2011-02-10,4219.38914420086
2011-02-11,4286.25533784825
2011-02-12,4303.44558038955
2011-02-13,4287.88541168096
2011-02-14,4196.01353128103
2011-02-15,4050.78330945736
2011-02-16,3966.21966535635
2011-02-17,4011.96544717907
2011-02-18,4069.17162967731
2011-02-19,4100.32722074628
2011-02-20,4090.41082884801
2011-02-21,3980.79355256966
2011-02-22,3827.67803135993
2011-02-23,3736.14959851725
2011-02-24,3766.92527970221
2011-02-25,3809.95852626465
2011-02-26,3852.57644031193
2011-02-27,3851.22321459147
2011-02-28,3737.29955049568
