"date","load"
2011-01-01,6263.70908345227
2011-01-02,6454.74400817799
2011-01-03,6686.42662940339
2011-01-04,6161.34096238203
2011-01-05,5363.03220093866
2011-01-06,5577.75938247385
2011-01-07,4919.08319104679
2011-01-08,5553.00889408201
2011-01-09,5930.26413460281
2011-01-10,6057.40461020959
2011-01-11,5623.92008253595
2011-01-12,5350.78484971594
2011-01-13,5747.06516558794
2011-01-14,5990.87703118011
2011-01-15,6324.71000872258
2011-01-16,6530.81325917251
2011-01-17,6730.92189262282
2011-01-18,6491.79273789763
2011-01-19,6246.90658562551
2011-01-20,6907.431017512
2011-01-21,6331.76173231482
2011-01-22,6315.57132384737
2011-01-23,6133.83370003752
2011-01-24,6288.31705575323
2011-01-25,6752.60983773893
2011-01-26,6241.16855920599
2011-01-27,6431.16769771093
2011-01-28,5676.8244877002
2011-01-29,5947.65582396087
2011-01-30,6706.35800990644
2011-01-31,6939.88047944324
2011-02-01,6373.13843201046
2011-02-02,5680.22914978046
2011-02-03,5772.58922152361
2011-02-04,5791.41411286485
2011-02-05,6681.7117688486
2011-02-06,6015.23291426985
2011-02-07,6412.70623520023
2011-02-08,6137.80239490002
2011-02-09,5672.02827569849
2011-02-10,6168.46681650609
2011-02-11,5414.61142073747
2011-02-12,5521.41895215242
2011-02-13,5854.94445589766
2011-02-14,6207.48180365499
2011-02-15,6022.51771912968
2011-02-16,5722.51771488277
2011-02-17,5958.49530539749
2011-02-18,5888.35788213587
2011-02-19,5803.61792359424
2011-02-20,5828.43652380293
2011-02-21,5904.39844747767
2011-02-22,5719.30625800178
2011-02-23,5706.51972587365
2011-02-24,5954.76771674989
2011-02-25,5408.52089851815
2011-02-26,6079.18408340822
2011-02-27,5777.19911227233
2011-02-28,5954.50864324528
