"date","load"
2011-01-01,4580.889263048
2011-01-02,4534.73029193032
2011-01-03,4581.22027565942
2011-01-04,4710.42057947486
2011-01-05,4909.16350349922
2011-01-06,5144.73206146059
2011-01-07,5357.26052614384
2011-01-08,5467.25299082933
2011-01-09,5431.57703535861
2011-01-10,5288.50451145726
2011-01-11,5091.16752825933
2011-01-12,4878.74473500651
2011-01-13,4687.34836334447
2011-01-14,4548.39298546243
2011-01-15,4494.47838117781
2011-01-16,4576.35878423866
2011-01-17,4746.15493229525
2011-01-18,4935.89863766331
2011-01-19,5072.30384861008
2011-01-20,5112.91838567539
2011-01-21,5046.77923934203
2011-01-22,4905.81767415342
2011-01-23,4730.63542191965
2011-01-24,4552.96541096192
2011-01-25,4422.68301134141
2011-01-26,4368.95955959999
2011-01-27,4403.3463230547
2011-01-28,4513.4410103715
2011-01-29,4695.25759500895
2011-01-30,4917.15282108253
2011-01-31,5108.10040060041
2011-02-01,5186.09423715173
2011-02-02,5135.31445812274
2011-02-03,4974.93562426854
2011-02-04,4743.5692849019
2011-02-05,4480.10997905638
2011-02-06,4218.97211669104
2011-02-07,3991.17116359423
2011-02-08,3847.15602564759
2011-02-09,3840.89878666932
2011-02-10,3952.77350023219
2011-02-11,4104.87219601749
2011-02-12,4229.16279907839
2011-02-13,4257.34709096249
2011-02-14,4182.37289552819
2011-02-15,4030.70067339545
2011-02-16,3837.61264514755
2011-02-17,3638.15303552213
2011-02-18,3487.02459378282
2011-02-19,3397.74690948696
2011-02-20,3379.42304407381
2011-02-21,3435.2315752907
2011-02-22,3539.73731908451
2011-02-23,3672.28356903927
2011-02-24,3770.4052648311
2011-02-25,3773.11046577971
2011-02-26,3670.03839213551
2011-02-27,3481.67823428767
2011-02-28,3228.15257390133
