"date","load"
2011-01-01,5397.17766296527
2011-01-02,5772.35349338512
2011-01-03,5818.22422068063
2011-01-04,5983.55621654993
2011-01-05,6038.67061305084
2011-01-06,5827.91788507099
2011-01-07,5484.36696583822
2011-01-08,5531.70785249902
2011-01-09,4865.68906885178
2011-01-10,4034.15414784026
2011-01-11,3904.67522865956
2011-01-12,4198.40853233824
2011-01-13,4164.84419260889
2011-01-14,3830.28392289366
2011-01-15,4019.05460715348
2011-01-16,4105.21840098397
2011-01-17,4029.03259426724
2011-01-18,4278.63939112166
2011-01-19,4710.37037253854
2011-01-20,4602.89095840715
2011-01-21,4466.12917603884
2011-01-22,5021.68813409756
2011-01-23,5167.88833263229
2011-01-24,4808.59670998294
2011-01-25,4265.94518658811
2011-01-26,3943.50524508674
2011-01-27,4527.68446853845
2011-01-28,5133.64548855112
2011-01-29,5196.68062355545
2011-01-30,4547.76191270246
2011-01-31,4319.49397823916
2011-02-01,4408.86234062047
2011-02-02,4548.93076511515
2011-02-03,4540.59965850685
2011-02-04,4162.35175339126
2011-02-05,4010.35349821073
2011-02-06,3943.87183789527
2011-02-07,4120.2895001772
2011-02-08,4018.2137639479
2011-02-09,4129.30890822408
2011-02-10,4282.49018909795
2011-02-11,4433.7601568818
2011-02-12,4271.3537314671
2011-02-13,4221.21662505875
2011-02-14,4026.94262545835
2011-02-15,3529.26420647099
2011-02-16,3305.82867745664
2011-02-17,3380.85371126548
2011-02-18,3994.73973396969
2011-02-19,4466.95440639972
2011-02-20,4446.90025142443
2011-02-21,4055.22805427223
2011-02-22,3632.31569698692
2011-02-23,3557.98311887852
2011-02-24,3855.42821487019
2011-02-25,3990.34129674614
2011-02-26,3910.39224994039
2011-02-27,4246.29704674324
2011-02-28,4147.01106625259
